Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P34331	P91870	PLK-1	SPD-2	C14B9.4	F32H2.3	WBGENE00004042	WBGENE00004953	25360893:0415:LC
P34331	Q17353	PLK-1	PAR-3	C14B9.4	F54E7.3	WBGENE00004042	WBGENE00003918	28829947:0415:LC|28829947:0018:LC|26780296:0018:LC
P34331	Q18282	PLK-1	MESP-1	C14B9.4	C28C12.2|CELE_C28C12.2	WBGENE00004042	WBGENE00016178	26780296:0018:LC|26780296:0090:LC
P34371	P34371	BATH-42	BATH-42	C50C3.8	C50C3.8	WBGENE00016803	WBGENE00016803	12445390:0018:LC|12445390:0398:LC
P34400	Q10929	MIG-10	ABI-1	F10E9.6	B0336.6|CELE_B0336.6	WBGENE00003243	WBGENE00015146	23028145:0018:LC|23022657:0018:LC|23022657:0004:LC
P34402	P34402	SAS-4	SAS-4	F10E9.8	F10E9.8	WBGENE00004726	WBGENE00004726	24684932:0018:LC
P34420	Q18239	ESS-2	DSH-2	F42H10.7	C27A2.6|CELE_C27A2.6	WBGENE00018371	WBGENE00001102	12445390:0018:LC|12445390:0398:LC
P34439	P34439	P34439	P34439	F54C8.1	F54C8.1	WBGENE00010035	WBGENE00010035	23695566:0114:LC|24763278:0114:LC
P34529	P42573	DCR-1	CED-3	K12H4.8	C48D1.2	WBGENE00000939	WBGENE00000417	24323044:0415:LC|20223951:0415:LC
P34537	P52478	RFP-1	UBC-1	R05D3.4	C35B1.1	WBGENE00007008	WBGENE00006701	14732404:0096:LC|14732404:0006:LC|14732404:0018:LC|15530417:0018:LC
P34604	P34604	P34604	P34604	ZK1098.4	ZK1098.4	WBGENE00014221	WBGENE00014221	11731503:0018:LC
P34607	Q19672	MUT-7	RDE-2	ZK1098.8	CELE_F21C3.4|F21C3.4	WBGENE00003504	WBGENE00004324	15653635:0004:LC|15653635:0018:LC|15653635:0006:LC
P34609	P46822	UNC-16	KLC-2	ZK1098.10	C18C4.10	WBGENE00006755	WBGENE00002215	21195138:0090:LC|21307258:0018:LC
P34623	P34661	UFBP-1	UFM-1	ZK1236.7	ZK652.3	WBGENE00022865	WBGENE00044324	23449979:0018:LC|27240952:0415:LC
P34629	P34629	LAP-1	LAP-1	ZK353.6	ZK353.6	WBGENE00002249	WBGENE00002249	14992718:0096:LC|14992718:0018:LC|PDB_2HB6:0114:LC|14992718:0004:LC
P34659	Q18786	SNR-5	SNR-4	ZK652.1	C52E4.3	WBGENE00004918	WBGENE00004917	11731503:0018:LC
P34661	P34661	UFM-1	UFM-1	ZK652.3	ZK652.3	WBGENE00044324	WBGENE00044324	29251776:0114:LC
P34661	Q94218	UFM-1	ODR-8	ZK652.3	F38A5.1	WBGENE00044324	WBGENE00018160	23449979:0018:LC|29251776:0114:LC
P34690	P34690	TBA-2	TBA-2	C47B2.3	C47B2.3	WBGENE00006529	WBGENE00006529	30245157:0114:LC
P34690	P52275	TBA-2	TBB-2	C47B2.3	C36E8.5	WBGENE00006529	WBGENE00006537	30245157:0004:LC|30245157:0114:LC
P34691	P34709	FEM-3	TRA-2	C01F6.4	C15F1.3	WBGENE00001413	WBGENE00006605	12477393:0018:LC|11124807:0019:LC|10364161:0004:LC|11124807:0018:LC|10364161:0019:LC|10364161:0018:LC
P34691	P49594	FEM-3	FEM-2	C01F6.4	T19C3.8	WBGENE00001413	WBGENE00001412	16477523:0018:LC|8824590:0018:LC
P34704	P34704	HER-1	HER-1	ZK287.8	ZK287.8	WBGENE00001842	WBGENE00001842	15289613:0114:LC
P34707	Q9U2Q9	SKN-1	GSK-3	T19E7.2	Y18D10A.5	WBGENE00004804	WBGENE00001746	16251270:0004:LC|16251270:0415:LC|28272406:0415:LC
P34708	P34709	TRA-1	TRA-2	Y47D3A.6	C15F1.3	WBGENE00006604	WBGENE00006605	11250902:0007:LC|11124807:0018:LC|11124807:0047:LC|11250902:0096:LC|11250902:0018:LC
P34808	P34808	MEI-1	MEI-1	T01G9.5	T01G9.5	WBGENE00003183	WBGENE00003183	28783150:0028:LC|28783150:0114:LC|23918937:0018:LC|31735665:0114:LC
P34808	Q94420	MEI-1	MEL-26	T01G9.5	ZK858.4	WBGENE00003183	WBGENE00003209	22621901:0018:LC|13679922:0096:LC|22621901:0096:LC|13679921:0018:LC|13679922:0018:LC|23918937:0018:LC|16169482:0018:LC|13679922:0004:LC
P34808	Q9XTF3	MEI-1	MBK-2	T01G9.5	F49E11.1	WBGENE00003183	WBGENE00003150	16338136:0415:LC|19879842:0424:LC
P35129	Q20052	LET-70	APC-11	M7.1	F35G12.9	WBGENE00002344	WBGENE00000145	15466891:0415:LC|15530417:0018:LC
P39055	P39055	DYN-1	DYN-1	C02C6.1	C02C6.1	WBGENE00001130	WBGENE00001130	20016007:0018:LC|20016007:0096:LC|20016007:0090:LC
P39055	Q8I4E2	DYN-1	LST-4	C02C6.1	Y37A1B.2	WBGENE00001130	WBGENE00003086	21148288:0007:LC|21148288:0004:LC|21148288:0018:LC
P39745	Q10664	MPK-1	MEK-2	F43C1.2	Y54E10BL.6	WBGENE00003401	WBGENE00003186	18073423:0415:LC
P39745	Q17339	MPK-1	GLD-1	F43C1.2	T23G11.3	WBGENE00003401	WBGENE00001595	29496961:0018:LC|29496961:0415:LC
P41779	Q9N5D6	CEH-20	UNC-62	F31E3.1	T28F12.2	WBGENE00000443	WBGENE00006796	31675356:0090:LC|19643105:0018:LC|31675356:0004:LC
P41846	Q9TZ70	MML-1	MXL-2	T20B12.6	CELE_F40G9.11|F40G9.11	WBGENE00003378	WBGENE00003510	19632181:0018:LC|17826759:0018:LC
P41958	P41958	CED-9	CED-9	T07C4.8	T07C4.8	WBGENE00000423	WBGENE00000423	15383288:0114:LC|12894216:0114:LC
